=== Summary for solver: Glasgow ===

-- test family: er --
group | 10_time(s) | 20_time(s) | 60_time(s) | 10_alloc(B) | 20_alloc(B) | 60_alloc(B)
1 | 13.834 | 8.074 | 31.092 | 98149141 | 14920660 | 29623836
2 | 3.404 | NaN | 33.876 | 12403085 | NaN | 29919128
3 | NaN | 8.318 | 34.985 | NaN | 23108518 | 29878572
4 | NaN | 8.278 | 37.543 | NaN | 15159389 | 29683089
5 | NaN | 10.628 | 41.610 | NaN | 18704198 | 32027844
6 | NaN | 27.503 | 36.891 | NaN | 214596148 | 29872820
7 | NaN | NaN | 38.376 | NaN | NaN | 29838312
8 | NaN | 12.245 | 35.576 | NaN | 41066835 | 29602384
9 | NaN | NaN | 38.991 | NaN | NaN | 29682212
10 | NaN | 10.412 | 34.745 | NaN | 32693522 | 29414228
11 | NaN | 9.846 | 42.643 | NaN | 14946204 | 30188569
12 | NaN | 9.804 | 43.248 | NaN | 16144869 | 30668637
13 | NaN | 8.571 | 40.247 | NaN | 18221786 | 29641184
14 | NaN | NaN | 41.267 | NaN | NaN | 29463336
15 | NaN | 9.255 | 37.629 | NaN | 19268846 | 29484000
16 | 13.429 | 9.097 | 34.779 | 121166390 | 23577869 | 29867956
17 | NaN | 8.017 | 34.734 | NaN | 22158785 | 29509396
18 | NaN | 29.721 | 34.685 | NaN | 205234758 | 29589860
19 | 4.378 | 8.464 | 37.980 | 19716876 | 19036258 | 32973229
20 | NaN | 8.310 | 36.413 | NaN | 14942289 | 29698136
21 | NaN | 39.329 | 46.171 | NaN | 269918836 | 30406197
22 | NaN | 17.965 | 44.315 | NaN | 39113626 | 29971264
23 | 7.547 | 9.408 | 42.915 | 11073232 | 15280268 | 29462244
24 | NaN | 14.901 | 41.271 | NaN | 69358491 | 30626441
25 | NaN | 17.011 | 43.386 | NaN | 19845014 | 30109608
26 | 19.377 | 10.647 | 35.614 | 122184904 | 15747821 | 30668372
27 | NaN | 8.109 | 41.425 | NaN | 15711452 | 30449813
28 | NaN | 8.202 | 36.017 | NaN | 16415481 | 29651896
29 | NaN | 17.297 | 33.565 | NaN | 118912547 | 30399617
30 | 4.011 | 17.660 | 33.702 | 17957428 | 126781427 | 29746180
31 | NaN | 9.893 | 36.252 | NaN | 32267617 | 31371977
32 | NaN | 9.729 | 40.883 | NaN | 21081209 | 29958441
33 | 53.251 | 8.612 | 34.047 | 448676434 | 20232350 | 29838000
34 | NaN | 9.043 | 35.785 | NaN | 29676658 | 30277168
35 | NaN | 13.939 | NaN | NaN | 56283606 | NaN
36 | NaN | 10.762 | 40.741 | NaN | 30496762 | 30078461
37 | 37.019 | 21.475 | 40.070 | 275216622 | 91350554 | 29566872
38 | 16.423 | 9.541 | 43.638 | 82339353 | 15580989 | 29822189
39 | 3.712 | 11.336 | 34.131 | 10746839 | 49378114 | 29866536
40 | 4.837 | 8.423 | 33.141 | 23442646 | 22691634 | 30512377
41 | NaN | 7.184 | 34.274 | NaN | 15087061 | 29700024
42 | NaN | 16.819 | 36.674 | NaN | 101534617 | 29968712
43 | NaN | 9.375 | 36.368 | NaN | 14345037 | 30395049
44 | NaN | 8.584 | 35.338 | NaN | 21838351 | 29537520
45 | 4.550 | 24.668 | 35.865 | 17482841 | 211006727 | 30645145
46 | NaN | NaN | 43.599 | NaN | NaN | 30319089
47 | NaN | 11.433 | 38.258 | NaN | 14756484 | 29690212
48 | NaN | 13.568 | 34.103 | NaN | 53174691 | 29721488
49 | 8.121 | 6.930 | 30.492 | 73083170 | 22902233 | 29805244
50 | 3.726 | 6.104 | 31.308 | 12104088 | 14699869 | 30290789
51 | 11.453 | 6.519 | 30.133 | 119589026 | 14775745 | 31521713
52 | NaN | 8.761 | 34.579 | NaN | 22752221 | 29754340
53 | 10.043 | 14.860 | 33.824 | 108187010 | 89548467 | 29494620
54 | NaN | 35.089 | 34.782 | NaN | 236354143 | 29708496
55 | NaN | 20.087 | 42.611 | NaN | 103602204 | 30454773
56 | 22.982 | 8.391 | 38.112 | 168877568 | 18012342 | 30493368
57 | 4.062 | 7.918 | 36.709 | 14439741 | 18152138 | 29510228
58 | 4.537 | 16.197 | 37.471 | 15110720 | 124257419 | 30456801
59 | NaN | 13.942 | 38.787 | NaN | 61662946 | 29732368
60 | NaN | 8.492 | 37.568 | NaN | 16800257 | 30598677
61 | 9.872 | 18.337 | 35.421 | 92541685 | 91553535 | 29641496
