=== Summary for solver: LAD ===

-- test family: er --
group | 10_time(s) | 20_time(s) | 60_time(s) | 10_alloc(B) | 20_alloc(B) | 60_alloc(B)
1 | NaN | NaN | NaN | NaN | NaN | NaN
2 | NaN | NaN | NaN | NaN | NaN | NaN
3 | NaN | NaN | NaN | NaN | NaN | NaN
4 | NaN | NaN | NaN | NaN | NaN | NaN
5 | NaN | NaN | 56.070 | NaN | NaN | 29006276
6 | NaN | NaN | NaN | NaN | NaN | NaN
7 | NaN | NaN | NaN | NaN | NaN | NaN
8 | NaN | NaN | NaN | NaN | NaN | NaN
9 | NaN | NaN | 8.220 | NaN | NaN | 28660112
10 | NaN | NaN | NaN | NaN | NaN | NaN
11 | NaN | NaN | NaN | NaN | NaN | NaN
12 | NaN | NaN | 14.030 | NaN | NaN | 28994884
13 | NaN | NaN | NaN | NaN | NaN | NaN
14 | NaN | NaN | NaN | NaN | NaN | NaN
15 | NaN | NaN | NaN | NaN | NaN | NaN
16 | NaN | NaN | NaN | NaN | NaN | NaN
17 | NaN | NaN | 21.580 | NaN | NaN | 28877252
18 | NaN | NaN | 56.850 | NaN | NaN | 28242120
19 | NaN | NaN | NaN | NaN | NaN | NaN
20 | NaN | NaN | NaN | NaN | NaN | NaN
21 | NaN | NaN | NaN | NaN | NaN | NaN
22 | NaN | NaN | NaN | NaN | NaN | NaN
23 | NaN | NaN | NaN | NaN | NaN | NaN
24 | NaN | NaN | NaN | NaN | NaN | NaN
25 | NaN | NaN | NaN | NaN | NaN | NaN
26 | NaN | NaN | NaN | NaN | NaN | NaN
27 | NaN | NaN | NaN | NaN | NaN | NaN
28 | NaN | NaN | NaN | NaN | NaN | NaN
29 | NaN | NaN | NaN | NaN | NaN | NaN
30 | NaN | NaN | 12.760 | NaN | NaN | 28805536
31 | NaN | NaN | NaN | NaN | NaN | NaN
32 | NaN | NaN | NaN | NaN | NaN | NaN
33 | NaN | NaN | NaN | NaN | NaN | NaN
34 | NaN | NaN | NaN | NaN | NaN | NaN
35 | NaN | NaN | 26.350 | NaN | NaN | 28456804
36 | NaN | NaN | 20.250 | NaN | NaN | 28774472
37 | NaN | NaN | 30.390 | NaN | NaN | 28479100
38 | NaN | NaN | 32.210 | NaN | NaN | 28583476
39 | NaN | NaN | NaN | NaN | NaN | NaN
40 | NaN | NaN | 21.550 | NaN | NaN | 28781404
41 | NaN | NaN | NaN | NaN | NaN | NaN
42 | NaN | NaN | NaN | NaN | NaN | NaN
43 | NaN | NaN | NaN | NaN | NaN | NaN
44 | NaN | NaN | 59.190 | NaN | NaN | 28700376
45 | NaN | NaN | NaN | NaN | NaN | NaN
46 | NaN | NaN | NaN | NaN | NaN | NaN
47 | NaN | NaN | NaN | NaN | NaN | NaN
48 | NaN | NaN | NaN | NaN | NaN | NaN
49 | NaN | NaN | NaN | NaN | NaN | NaN
50 | NaN | NaN | NaN | NaN | NaN | NaN
51 | NaN | NaN | NaN | NaN | NaN | NaN
52 | NaN | NaN | NaN | NaN | NaN | NaN
53 | NaN | NaN | 9.310 | NaN | NaN | 28724876
54 | NaN | NaN | NaN | NaN | NaN | NaN
55 | NaN | NaN | NaN | NaN | NaN | NaN
56 | NaN | NaN | NaN | NaN | NaN | NaN
57 | NaN | NaN | NaN | NaN | NaN | NaN
58 | NaN | NaN | 11.710 | NaN | NaN | 28788160
59 | NaN | NaN | NaN | NaN | NaN | NaN
60 | NaN | NaN | 32.850 | NaN | NaN | 29217120
