=== Summary for solver: SICS ===

-- test family: er --
group | 10_time(s) | 20_time(s) | 60_time(s) | 10_alloc(B) | 20_alloc(B) | 60_alloc(B)
1 | 32.914 | 0.884 | 5.228 | 1865608 | 4291536 | 30040040
2 | 5.034 | 6.026 | 3.847 | 1867656 | 4293712 | 30042344
3 | NaN | 2.933 | 3.967 | NaN | 4294648 | 30043872
4 | 0.650 | 1.215 | 3.952 | 1867400 | 4293920 | 30042248
5 | NaN | 2.033 | 4.371 | NaN | 4292144 | 30039888
6 | 14.034 | 1.365 | 4.245 | 1866176 | 4291456 | 30042088
7 | NaN | 44.806 | 3.766 | NaN | 4292152 | 30041512
8 | 18.480 | 6.347 | 4.111 | 1867552 | 4293408 | 30043712
9 | 3.090 | 1.120 | 5.535 | 1868864 | 4294480 | 30043064
10 | NaN | 1.815 | 4.293 | NaN | 4291328 | 30037696
11 | NaN | 1.401 | 3.964 | NaN | 4293320 | 30040864
12 | NaN | 5.219 | 4.034 | NaN | 4291848 | 30040552
13 | NaN | 2.892 | 7.112 | NaN | 4295008 | 30043096
14 | NaN | 3.075 | 4.471 | NaN | 4293136 | 30042280
15 | NaN | NaN | 7.372 | NaN | NaN | 30041464
16 | NaN | 6.469 | 7.168 | NaN | 4291864 | 30039264
17 | NaN | 4.120 | 8.517 | NaN | 4293880 | 30042248
18 | 2.481 | 4.787 | 7.238 | 1865360 | 4291512 | 30040712
19 | 1.458 | 34.100 | 7.256 | 1867624 | 4293176 | 30044288
20 | NaN | 2.666 | 7.601 | NaN | 4292764 | 30043444
21 | NaN | 3.583 | 4.172 | NaN | 4292968 | 30043720
22 | NaN | 2.166 | 7.421 | NaN | 4294240 | 30042568
23 | 3.028 | 55.329 | 6.298 | 1864960 | 4290936 | 30040464
24 | NaN | 4.024 | 7.252 | NaN | 4293672 | 30040728
25 | NaN | 6.632 | 8.295 | NaN | 4292824 | 30041200
26 | 30.477 | 3.974 | 7.977 | 1869112 | 4295768 | 30044080
27 | NaN | 2.442 | 8.079 | NaN | 4294148 | 30042588
28 | 2.022 | 2.268 | 7.847 | 1865904 | 4291920 | 30042120
29 | 12.929 | 5.107 | 7.837 | 1866904 | 4292648 | 30042536
30 | 13.152 | 5.173 | 7.529 | 1867488 | 4293072 | 30041752
31 | 36.554 | 7.441 | 7.192 | 1867352 | 4293416 | 30042600
32 | 5.910 | 7.644 | 7.190 | 1865776 | 4291776 | 30039432
33 | NaN | 3.454 | 8.234 | NaN | 4293696 | 30043368
34 | NaN | 2.164 | 8.268 | NaN | 4292384 | 30040712
35 | NaN | 2.558 | 8.571 | NaN | 4292568 | 30041272
36 | NaN | 2.279 | 10.662 | NaN | 4293528 | 30041968
37 | 5.515 | 5.161 | 9.431 | 1868016 | 4294016 | 30043296
38 | 2.776 | 2.785 | 8.626 | 1864832 | 4290776 | 30038688
39 | 1.635 | 2.926 | 7.963 | 1865720 | 4291096 | 30040384
40 | NaN | 16.501 | 9.566 | NaN | 4290672 | 30040712
41 | NaN | 1.962 | 9.252 | NaN | 4292016 | 30040864
42 | NaN | 6.886 | 10.561 | NaN | 4291056 | 30039400
43 | NaN | 4.988 | 11.183 | NaN | 4294512 | 30044360
44 | NaN | 12.587 | 11.897 | NaN | 4293024 | 30041704
45 | 1.636 | NaN | 10.954 | 1865680 | NaN | 30040168
46 | NaN | 16.561 | 7.680 | NaN | 4294504 | 30042752
47 | 2.335 | 8.447 | 10.886 | 1870392 | 4296600 | 30046312
48 | NaN | 7.490 | 9.675 | NaN | 4292712 | 30042888
49 | NaN | 5.760 | 8.958 | NaN | 4294512 | 30043864
50 | 2.102 | 7.251 | 13.670 | 1869256 | 4294552 | 30044664
51 | NaN | 5.941 | 12.047 | NaN | 4290768 | 30038384
52 | NaN | NaN | 12.890 | NaN | NaN | 30043476
53 | 4.832 | 46.936 | 10.636 | 1868168 | 4293688 | 30041128
54 | NaN | 12.367 | 14.446 | NaN | 4291944 | 30040072
55 | NaN | 2.538 | 11.455 | NaN | 4296016 | 30045656
56 | 4.751 | 8.516 | 18.362 | 1865032 | 4290888 | 30038368
57 | 40.867 | 5.000 | 17.189 | 1865800 | 4291456 | 30040600
58 | 2.630 | NaN | 12.340 | 1868472 | NaN | 30044096
59 | NaN | NaN | 11.384 | NaN | NaN | 30041040
60 | NaN | 5.504 | 12.704 | NaN | 4295952 | 30044480
61 | NaN | 8.747 | 19.195 | NaN | 4293560 | 30041808
62 | NaN | 9.710 | 17.227 | NaN | 4292544 | 30042776
63 | NaN | 6.174 | 17.722 | NaN | 4293416 | 30042320
64 | 3.714 | 4.029 | 14.272 | 1867176 | 4292520 | 30042352
65 | NaN | 23.246 | 20.577 | NaN | 4293600 | 30041880
66 | 2.379 | 20.710 | 13.461 | 1866456 | 4292504 | 30040944
67 | NaN | NaN | 11.925 | NaN | NaN | 30040872
68 | 4.189 | 4.495 | 15.136 | 1866768 | 4292720 | 30041128
69 | NaN | 4.746 | 20.989 | NaN | 4293016 | 30041096
70 | NaN | 6.653 | 16.649 | NaN | 4296032 | 30047024
71 | NaN | NaN | 25.083 | NaN | NaN | 30041408
72 | NaN | NaN | 16.187 | NaN | NaN | 30045120
73 | NaN | 4.585 | 24.654 | NaN | 4294880 | 30043744
74 | 10.008 | 41.571 | 15.301 | 1867448 | 4293368 | 30041224
75 | NaN | 17.048 | 20.149 | NaN | 4290136 | 30036264
