=== Summary for solver: VF3 ===

-- test family: er --
group | 10_time(s) | 20_time(s) | 60_time(s) | 10_alloc(B) | 20_alloc(B) | 60_alloc(B)
0 | NaN | NaN | 5.666 | NaN | NaN | 1837624
1 | NaN | NaN | 6.479 | NaN | NaN | 1828492
2 | NaN | NaN | 3.862 | NaN | NaN | 1833088
3 | NaN | 15.864 | 4.526 | NaN | 1358628 | 1834120
4 | NaN | NaN | NaN | NaN | NaN | NaN
5 | NaN | NaN | 19.766 | NaN | NaN | 1837624
6 | NaN | 22.174 | 5.168 | NaN | 1355292 | 1841404
7 | NaN | NaN | 4.272 | NaN | NaN | 1847476
8 | NaN | NaN | 3.266 | NaN | NaN | 1847932
9 | NaN | NaN | 4.684 | NaN | NaN | 1833532
10 | NaN | NaN | 21.842 | NaN | NaN | 1870168
11 | NaN | NaN | 6.443 | NaN | NaN | 1832596
12 | NaN | NaN | NaN | NaN | NaN | NaN
13 | NaN | 9.136 | 3.430 | NaN | 1347468 | 1824940
14 | NaN | NaN | NaN | NaN | NaN | NaN
15 | NaN | NaN | NaN | NaN | NaN | NaN
16 | NaN | NaN | NaN | NaN | NaN | NaN
17 | NaN | NaN | 4.917 | NaN | NaN | 1868812
18 | NaN | NaN | 3.570 | NaN | NaN | 1866292
19 | NaN | NaN | 5.007 | NaN | NaN | 1834384
20 | NaN | NaN | 1.602 | NaN | NaN | 1838716
21 | NaN | NaN | 4.495 | NaN | NaN | 1854472
22 | NaN | NaN | 2.233 | NaN | NaN | 1862824
23 | NaN | NaN | NaN | NaN | NaN | NaN
24 | NaN | NaN | 6.947 | NaN | NaN | 1846900
25 | NaN | NaN | 12.028 | NaN | NaN | 1824988
26 | NaN | NaN | 3.369 | NaN | NaN | 1825480
27 | NaN | NaN | 5.762 | NaN | NaN | 1833760
28 | NaN | NaN | NaN | NaN | NaN | NaN
29 | NaN | NaN | NaN | NaN | NaN | NaN
30 | NaN | NaN | 5.648 | NaN | NaN | 1809544
31 | NaN | NaN | NaN | NaN | NaN | NaN
32 | NaN | NaN | 5.131 | NaN | NaN | 1873948
33 | NaN | NaN | NaN | NaN | NaN | NaN
34 | NaN | NaN | NaN | NaN | NaN | NaN
35 | NaN | NaN | NaN | NaN | NaN | NaN
36 | NaN | NaN | NaN | NaN | NaN | NaN
37 | NaN | NaN | NaN | NaN | NaN | NaN
38 | NaN | NaN | NaN | NaN | NaN | NaN
39 | NaN | NaN | NaN | NaN | NaN | NaN
40 | NaN | NaN | NaN | NaN | NaN | NaN
41 | NaN | NaN | NaN | NaN | NaN | NaN
42 | NaN | NaN | 6.846 | NaN | NaN | 1826740
43 | NaN | NaN | NaN | NaN | NaN | NaN
44 | NaN | NaN | NaN | NaN | NaN | NaN
45 | NaN | NaN | NaN | NaN | NaN | NaN
46 | NaN | NaN | NaN | NaN | NaN | NaN
47 | NaN | NaN | NaN | NaN | NaN | NaN
48 | NaN | NaN | NaN | NaN | NaN | NaN
49 | NaN | NaN | NaN | NaN | NaN | NaN
50 | NaN | NaN | NaN | NaN | NaN | NaN
51 | NaN | NaN | NaN | NaN | NaN | NaN
52 | NaN | NaN | NaN | NaN | NaN | NaN
53 | NaN | NaN | NaN | NaN | NaN | NaN
54 | NaN | NaN | NaN | NaN | NaN | NaN
55 | NaN | NaN | NaN | NaN | NaN | NaN
56 | NaN | NaN | NaN | NaN | NaN | NaN
57 | NaN | NaN | NaN | NaN | NaN | NaN
58 | NaN | NaN | NaN | NaN | NaN | NaN
59 | NaN | NaN | NaN | NaN | NaN | NaN
60 | NaN | NaN | NaN | NaN | NaN | NaN
61 | NaN | NaN | NaN | NaN | NaN | NaN
62 | NaN | NaN | NaN | NaN | NaN | NaN
63 | NaN | NaN | NaN | NaN | NaN | NaN
