=== Summary for solver: RI ===

-- test family: er --
group | 10_time(s) | 20_time(s) | 60_time(s) | 10_alloc(B) | 20_alloc(B) | 60_alloc(B)
1 | 2.379 | 7.156 | 1.553 | 865894 | 3999926 | 860158
2 | 1.432 | 1.052 | 1.808 | 1025086 | 664750 | 909910
3 | NaN | 5.084 | 0.906 | NaN | 3331574 | 859006
4 | NaN | 4.024 | 1.741 | NaN | 1487950 | 872254
5 | NaN | NaN | 1.707 | NaN | NaN | 858910
6 | NaN | 28.197 | 1.785 | NaN | 8253542 | 872126
7 | NaN | 3.361 | 2.115 | NaN | 1061846 | 908902
8 | 6.940 | 10.623 | 1.896 | 1829590 | 2740270 | 858446
9 | NaN | 11.015 | 2.171 | NaN | 2193350 | 873110
10 | NaN | 1.887 | 2.004 | NaN | 632375 | 874327
11 | NaN | 5.109 | 2.960 | NaN | 1264831 | 873023
12 | 2.726 | 1.685 | 2.752 | 723103 | 632831 | 860663
13 | 22.683 | 36.895 | 1.731 | 4467575 | 8060935 | 839927
14 | NaN | 3.596 | 1.959 | NaN | 891231 | 856735
15 | 4.364 | 4.631 | 10.728 | 1012255 | 1203935 | 2876623
16 | 49.584 | 3.078 | 2.158 | 11384439 | 815967 | 882639
17 | NaN | 2.949 | 2.209 | NaN | 815503 | 857183
18 | NaN | NaN | 2.827 | NaN | NaN | 887399
19 | 10.348 | NaN | 2.066 | 2192879 | NaN | 869255
20 | NaN | 5.625 | 2.554 | NaN | 1192167 | 904431
21 | NaN | 3.340 | 2.441 | NaN | 1126007 | 874663
22 | NaN | 9.798 | 2.213 | NaN | 1830103 | 852047
23 | NaN | NaN | 3.457 | NaN | NaN | 870823
24 | NaN | NaN | 4.948 | NaN | NaN | 893215
25 | 13.953 | NaN | 3.702 | 2337695 | NaN | 875711
26 | 3.316 | 7.437 | 3.032 | 590695 | 1141607 | 846391
27 | NaN | NaN | 5.721 | NaN | NaN | 889695
28 | NaN | NaN | 3.366 | NaN | NaN | 871127
29 | NaN | NaN | 4.986 | NaN | NaN | 860847
30 | NaN | 5.015 | 4.565 | NaN | 760671 | 973983
31 | 30.790 | NaN | 2.554 | 4579359 | NaN | 862887
32 | NaN | 5.319 | 4.373 | NaN | 967175 | 871599
33 | NaN | NaN | 4.721 | NaN | NaN | 877799
34 | NaN | 7.443 | 4.741 | NaN | 1027255 | 878567
35 | NaN | 10.922 | 5.161 | NaN | 1201703 | 876775
36 | NaN | 7.728 | 5.578 | NaN | 1039655 | 856119
37 | NaN | NaN | 13.022 | NaN | NaN | 1518055
38 | NaN | NaN | 1.879 | NaN | NaN | 879183
39 | NaN | NaN | 4.583 | NaN | NaN | 876655
40 | NaN | 10.356 | 7.058 | NaN | 986727 | 874095
41 | NaN | 11.877 | 5.690 | NaN | 1063567 | 884823
42 | NaN | NaN | 5.580 | NaN | NaN | 860311
43 | NaN | 6.433 | 7.459 | NaN | 672711 | 865791
44 | NaN | NaN | 8.113 | NaN | NaN | 856551
45 | NaN | 10.856 | 7.054 | NaN | 992703 | 860231
46 | 10.152 | NaN | 8.064 | 886319 | NaN | 911159
47 | NaN | 31.811 | 5.961 | NaN | 2939791 | 882743
48 | NaN | 24.098 | 5.832 | NaN | 2223279 | 891087
49 | NaN | 17.334 | 6.649 | NaN | 1496095 | 970959
50 | NaN | NaN | 8.094 | NaN | NaN | 882551
