=== Summary for solver: Glasgow (random graphs) ===

graph | time(s) | alloc(B)
100_random_graph_500.lad | NaN | NaN
10_random_graph_500.lad | 21.320 | 180369728
11_random_graph_500.lad | NaN | NaN
12_random_graph_500.lad | NaN | NaN
13_random_graph_500.lad | 6.870 | 9340607
14_random_graph_500.lad | NaN | NaN
15_random_graph_500.lad | NaN | NaN
16_random_graph_500.lad | NaN | NaN
17_random_graph_500.lad | NaN | NaN
18_random_graph_500.lad | NaN | NaN
19_random_graph_500.lad | NaN | NaN
1_random_graph_500.lad | NaN | NaN
20_random_graph_500.lad | NaN | NaN
21_random_graph_500.lad | NaN | NaN
22_random_graph_500.lad | NaN | NaN
23_random_graph_500.lad | 5.510 | 3251147
24_random_graph_500.lad | 5.920 | 7893911
25_random_graph_500.lad | 9.180 | 51872419
26_random_graph_500.lad | 5.400 | 3982703
27_random_graph_500.lad | NaN | NaN
28_random_graph_500.lad | NaN | NaN
29_random_graph_500.lad | 6.310 | 3101043
2_random_graph_500.lad | NaN | NaN
30_random_graph_500.lad | 13.160 | 27353991
31_random_graph_500.lad | NaN | NaN
32_random_graph_500.lad | NaN | NaN
33_random_graph_500.lad | 5.470 | 3054995
34_random_graph_500.lad | NaN | NaN
35_random_graph_500.lad | NaN | NaN
36_random_graph_500.lad | NaN | NaN
37_random_graph_500.lad | NaN | NaN
38_random_graph_500.lad | NaN | NaN
39_random_graph_500.lad | NaN | NaN
3_random_graph_500.lad | 6.840 | 10353665
40_random_graph_500.lad | 6.760 | 6347535
41_random_graph_500.lad | NaN | NaN
42_random_graph_500.lad | NaN | NaN
43_random_graph_500.lad | 8.340 | 11772231
44_random_graph_500.lad | 6.770 | 6043343
45_random_graph_500.lad | NaN | NaN
46_random_graph_500.lad | NaN | NaN
47_random_graph_500.lad | 5.570 | 3227315
48_random_graph_500.lad | NaN | NaN
49_random_graph_500.lad | 14.540 | 111012524
4_random_graph_500.lad | NaN | NaN
50_random_graph_500.lad | NaN | NaN
51_random_graph_500.lad | 8.900 | 3080703
52_random_graph_500.lad | 26.140 | 205382041
53_random_graph_500.lad | 6.990 | 7184175
54_random_graph_500.lad | NaN | NaN
55_random_graph_500.lad | NaN | NaN
56_random_graph_500.lad | NaN | NaN
57_random_graph_500.lad | 6.060 | 8475499
58_random_graph_500.lad | NaN | NaN
59_random_graph_500.lad | NaN | NaN
5_random_graph_500.lad | NaN | NaN
60_random_graph_500.lad | NaN | NaN
61_random_graph_500.lad | NaN | NaN
62_random_graph_500.lad | NaN | NaN
63_random_graph_500.lad | NaN | NaN
64_random_graph_500.lad | NaN | NaN
65_random_graph_500.lad | NaN | NaN
66_random_graph_500.lad | 7.970 | 26708983
67_random_graph_500.lad | NaN | NaN
68_random_graph_500.lad | NaN | NaN
69_random_graph_500.lad | NaN | NaN
6_random_graph_500.lad | NaN | NaN
70_random_graph_500.lad | 5.670 | 3878047
71_random_graph_500.lad | NaN | NaN
72_random_graph_500.lad | 6.710 | 8289047
73_random_graph_500.lad | NaN | NaN
74_random_graph_500.lad | NaN | NaN
75_random_graph_500.lad | NaN | NaN
76_random_graph_500.lad | NaN | NaN
77_random_graph_500.lad | NaN | NaN
78_random_graph_500.lad | NaN | NaN
79_random_graph_500.lad | NaN | NaN
7_random_graph_500.lad | NaN | NaN
80_random_graph_500.lad | NaN | NaN
81_random_graph_500.lad | NaN | NaN
82_random_graph_500.lad | 5.450 | 2885507
83_random_graph_500.lad | 44.490 | 466371875
84_random_graph_500.lad | 6.470 | 6393287
85_random_graph_500.lad | NaN | NaN
86_random_graph_500.lad | NaN | NaN
87_random_graph_500.lad | NaN | NaN
88_random_graph_500.lad | NaN | NaN
89_random_graph_500.lad | NaN | NaN
8_random_graph_500.lad | 17.540 | 149485866
90_random_graph_500.lad | NaN | NaN
91_random_graph_500.lad | NaN | NaN
92_random_graph_500.lad | NaN | NaN
93_random_graph_500.lad | NaN | NaN
94_random_graph_500.lad | NaN | NaN
95_random_graph_500.lad | NaN | NaN
96_random_graph_500.lad | NaN | NaN
97_random_graph_500.lad | NaN | NaN
98_random_graph_500.lad | NaN | NaN
99_random_graph_500.lad | NaN | NaN
9_random_graph_500.lad | 6.070 | 4607593
