=== Summary for solver: RI (random graphs) ===

graph | time(s) | alloc(B)
100_random_graph_500.gfu | NaN | NaN
10_random_graph_500.gfu | 27.620 | 9835599
11_random_graph_500.gfu | NaN | NaN
12_random_graph_500.gfu | NaN | NaN
13_random_graph_500.gfu | 13.120 | 2102199
14_random_graph_500.gfu | NaN | NaN
15_random_graph_500.gfu | NaN | NaN
16_random_graph_500.gfu | NaN | NaN
17_random_graph_500.gfu | NaN | NaN
18_random_graph_500.gfu | NaN | NaN
19_random_graph_500.gfu | NaN | NaN
1_random_graph_500.gfu | NaN | NaN
20_random_graph_500.gfu | NaN | NaN
21_random_graph_500.gfu | NaN | NaN
22_random_graph_500.gfu | NaN | NaN
23_random_graph_500.gfu | 6.820 | 343167
24_random_graph_500.gfu | 17.420 | 1407671
25_random_graph_500.gfu | 35.620 | 3113151
26_random_graph_500.gfu | 9.040 | 459111
27_random_graph_500.gfu | NaN | NaN
28_random_graph_500.gfu | NaN | NaN
29_random_graph_500.gfu | 9.680 | 326991
2_random_graph_500.gfu | NaN | NaN
30_random_graph_500.gfu | 27.030 | 1643527
31_random_graph_500.gfu | NaN | NaN
32_random_graph_500.gfu | NaN | NaN
33_random_graph_500.gfu | 11.970 | 321503
34_random_graph_500.gfu | NaN | NaN
35_random_graph_500.gfu | NaN | NaN
36_random_graph_500.gfu | NaN | NaN
37_random_graph_500.gfu | NaN | NaN
38_random_graph_500.gfu | NaN | NaN
39_random_graph_500.gfu | NaN | NaN
3_random_graph_500.gfu | 41.970 | 1955438
40_random_graph_500.gfu | 20.280 | 823767
41_random_graph_500.gfu | NaN | NaN
42_random_graph_500.gfu | NaN | NaN
43_random_graph_500.gfu | 54.320 | 2979943
44_random_graph_500.gfu | 20.740 | 833767
45_random_graph_500.gfu | NaN | NaN
46_random_graph_500.gfu | NaN | NaN
47_random_graph_500.gfu | 8.990 | 351631
48_random_graph_500.gfu | NaN | NaN
49_random_graph_500.gfu | NaN | NaN
4_random_graph_500.gfu | NaN | NaN
50_random_graph_500.gfu | NaN | NaN
51_random_graph_500.gfu | 18.250 | 329671
52_random_graph_500.gfu | NaN | NaN
53_random_graph_500.gfu | 25.550 | 944999
54_random_graph_500.gfu | NaN | NaN
55_random_graph_500.gfu | NaN | NaN
56_random_graph_500.gfu | NaN | NaN
57_random_graph_500.gfu | 41.890 | 1504167
58_random_graph_500.gfu | NaN | NaN
59_random_graph_500.gfu | NaN | NaN
5_random_graph_500.gfu | NaN | NaN
60_random_graph_500.gfu | NaN | NaN
61_random_graph_500.gfu | NaN | NaN
62_random_graph_500.gfu | NaN | NaN
63_random_graph_500.gfu | NaN | NaN
64_random_graph_500.gfu | NaN | NaN
65_random_graph_500.gfu | NaN | NaN
66_random_graph_500.gfu | NaN | NaN
67_random_graph_500.gfu | NaN | NaN
68_random_graph_500.gfu | NaN | NaN
69_random_graph_500.gfu | NaN | NaN
6_random_graph_500.gfu | NaN | NaN
70_random_graph_500.gfu | 33.110 | 425303
71_random_graph_500.gfu | NaN | NaN
72_random_graph_500.gfu | 45.890 | 1417439
73_random_graph_500.gfu | NaN | NaN
74_random_graph_500.gfu | NaN | NaN
75_random_graph_500.gfu | NaN | NaN
76_random_graph_500.gfu | NaN | NaN
77_random_graph_500.gfu | NaN | NaN
78_random_graph_500.gfu | NaN | NaN
79_random_graph_500.gfu | NaN | NaN
7_random_graph_500.gfu | NaN | NaN
80_random_graph_500.gfu | NaN | NaN
81_random_graph_500.gfu | NaN | NaN
82_random_graph_500.gfu | 33.310 | 300655
83_random_graph_500.gfu | NaN | NaN
84_random_graph_500.gfu | 48.900 | 738231
85_random_graph_500.gfu | NaN | NaN
86_random_graph_500.gfu | NaN | NaN
87_random_graph_500.gfu | NaN | NaN
88_random_graph_500.gfu | NaN | NaN
89_random_graph_500.gfu | NaN | NaN
8_random_graph_500.gfu | NaN | NaN
90_random_graph_500.gfu | NaN | NaN
91_random_graph_500.gfu | NaN | NaN
92_random_graph_500.gfu | NaN | NaN
93_random_graph_500.gfu | NaN | NaN
94_random_graph_500.gfu | NaN | NaN
95_random_graph_500.gfu | NaN | NaN
96_random_graph_500.gfu | NaN | NaN
97_random_graph_500.gfu | NaN | NaN
98_random_graph_500.gfu | NaN | NaN
99_random_graph_500.gfu | NaN | NaN
9_random_graph_500.gfu | 37.550 | 522302
