=== Summary for solver: VF3 (random graphs) ===

graph | time(s) | alloc(B)
100_random_graph_700.grf | NaN | NaN
10_random_graph_700.grf | NaN | NaN
11_random_graph_700.grf | 43.610 | 929228
12_random_graph_700.grf | NaN | NaN
13_random_graph_700.grf | NaN | NaN
14_random_graph_700.grf | NaN | NaN
15_random_graph_700.grf | NaN | NaN
16_random_graph_700.grf | 43.820 | 780848
17_random_graph_700.grf | NaN | NaN
18_random_graph_700.grf | NaN | NaN
19_random_graph_700.grf | NaN | NaN
1_random_graph_700.grf | NaN | NaN
20_random_graph_700.grf | NaN | NaN
21_random_graph_700.grf | 48.050 | 886472
22_random_graph_700.grf | NaN | NaN
23_random_graph_700.grf | NaN | NaN
24_random_graph_700.grf | NaN | NaN
25_random_graph_700.grf | NaN | NaN
26_random_graph_700.grf | NaN | NaN
27_random_graph_700.grf | NaN | NaN
28_random_graph_700.grf | 46.340 | 958796
29_random_graph_700.grf | NaN | NaN
2_random_graph_700.grf | 98.090 | 1505084
30_random_graph_700.grf | NaN | NaN
31_random_graph_700.grf | NaN | NaN
32_random_graph_700.grf | NaN | NaN
33_random_graph_700.grf | NaN | NaN
34_random_graph_700.grf | NaN | NaN
35_random_graph_700.grf | NaN | NaN
36_random_graph_700.grf | NaN | NaN
37_random_graph_700.grf | NaN | NaN
38_random_graph_700.grf | NaN | NaN
39_random_graph_700.grf | NaN | NaN
3_random_graph_700.grf | NaN | NaN
40_random_graph_700.grf | NaN | NaN
41_random_graph_700.grf | 81.960 | 1383308
42_random_graph_700.grf | 53.130 | 1066172
43_random_graph_700.grf | 100.310 | 1518800
44_random_graph_700.grf | NaN | NaN
45_random_graph_700.grf | NaN | NaN
46_random_graph_700.grf | 111.380 | 1571780
47_random_graph_700.grf | NaN | NaN
48_random_graph_700.grf | NaN | NaN
49_random_graph_700.grf | NaN | NaN
4_random_graph_700.grf | NaN | NaN
50_random_graph_700.grf | NaN | NaN
51_random_graph_700.grf | NaN | NaN
52_random_graph_700.grf | 108.630 | 1417412
53_random_graph_700.grf | 60.340 | 1189532
54_random_graph_700.grf | NaN | NaN
55_random_graph_700.grf | 62.870 | 985880
56_random_graph_700.grf | NaN | NaN
57_random_graph_700.grf | NaN | NaN
58_random_graph_700.grf | NaN | NaN
59_random_graph_700.grf | NaN | NaN
5_random_graph_700.grf | NaN | NaN
60_random_graph_700.grf | NaN | NaN
61_random_graph_700.grf | NaN | NaN
62_random_graph_700.grf | NaN | NaN
63_random_graph_700.grf | NaN | NaN
64_random_graph_700.grf | NaN | NaN
65_random_graph_700.grf | NaN | NaN
66_random_graph_700.grf | 95.270 | 1122020
67_random_graph_700.grf | NaN | NaN
68_random_graph_700.grf | NaN | NaN
69_random_graph_700.grf | NaN | NaN
6_random_graph_700.grf | NaN | NaN
70_random_graph_700.grf | NaN | NaN
71_random_graph_700.grf | NaN | NaN
72_random_graph_700.grf | NaN | NaN
73_random_graph_700.grf | NaN | NaN
74_random_graph_700.grf | NaN | NaN
75_random_graph_700.grf | 74.740 | 1139168
76_random_graph_700.grf | NaN | NaN
77_random_graph_700.grf | NaN | NaN
78_random_graph_700.grf | NaN | NaN
79_random_graph_700.grf | 88.860 | 1358012
7_random_graph_700.grf | NaN | NaN
80_random_graph_700.grf | NaN | NaN
81_random_graph_700.grf | 60.550 | 1061756
82_random_graph_700.grf | NaN | NaN
83_random_graph_700.grf | NaN | NaN
84_random_graph_700.grf | NaN | NaN
85_random_graph_700.grf | NaN | NaN
86_random_graph_700.grf | NaN | NaN
87_random_graph_700.grf | NaN | NaN
88_random_graph_700.grf | NaN | NaN
89_random_graph_700.grf | NaN | NaN
8_random_graph_700.grf | 97.230 | 1325612
90_random_graph_700.grf | NaN | NaN
91_random_graph_700.grf | 100.240 | 1364852
92_random_graph_700.grf | 113.790 | 1474304
93_random_graph_700.grf | NaN | NaN
94_random_graph_700.grf | NaN | NaN
95_random_graph_700.grf | NaN | NaN
96_random_graph_700.grf | 64.620 | 954968
97_random_graph_700.grf | NaN | NaN
98_random_graph_700.grf | NaN | NaN
99_random_graph_700.grf | 68.680 | 933284
9_random_graph_700.grf | NaN | NaN
