=== Summary for solver: Glasgow (real graphs) ===

graph | time(s) | alloc(B)
Amazon0302_graph.lad | NaN | NaN
Amazon0312_graph.lad | NaN | NaN
Amazon0505_graph.lad | NaN | NaN
Amazon0601_graph.lad | NaN | NaN
Brightkite_edges_graph.lad | NaN | NaN
CA-AstroPh_graph.lad | NaN | NaN
CA-GrQc_graph.lad | 29.870 | 174421457
CA-HepPh_graph.lad | NaN | NaN
CA-HepTh_graph.lad | 93.920 | 598663847
CA-rCondMat_graph.lad | NaN | NaN
Cit-HepPh_graph.lad | NaN | NaN
Cit-HepTh_graph.lad | NaN | NaN
Gowalla_edges_graph.lad | NaN | NaN
as-skitter_graph.lad | NaN | NaN
as19971108_graph.lad | 11.370 | 61087483
as19971109_graph.lad | 11.310 | 60966817
as19971110_graph.lad | 11.580 | 60866578
as19971111_graph.lad | 11.920 | 60984825
as19971112_graph.lad | 12.780 | 61568097
as19971113_graph.lad | 11.730 | 58362949
as19971114_graph.lad | 11.880 | 61457209
as19971115_graph.lad | 12.050 | 61525366
as19971116_graph.lad | 12.140 | 61292513
as19971117_graph.lad | 11.940 | 61521889
as19971118_graph.lad | 11.880 | 61467174
as19971119_graph.lad | 12.540 | 62001985
as19971120_graph.lad | 12.170 | 62177638
as19971121_graph.lad | 13.880 | 62940317
cit-Patents_graph.lad | NaN | NaN
com-amazon_graph.lad | NaN | NaN
email-Eu-core-department-labels_graph.lad | 9.840 | 5567346
email-Eu-core_graph.lad | 15.760 | 10441111
email-enron_graph.lad | NaN | NaN
email-euall_graph.lad | NaN | NaN
fb0_graph.lad | 8.230 | 2259407
fb107_graph.lad | 17.780 | 29246919
fb1684_graph.lad | 18.470 | 11719821
fb1912_graph.lad | 14.680 | 17324472
fb3437_graph.lad | 7.570 | 4295380
fb348_graph.lad | 6.850 | 2264459
fb3980_graph.lad | 6.080 | 274792
fb414_graph.lad | 6.650 | 1045479
fb686_graph.lad | 6.520 | 1267095
fb698_graph.lad | 6.090 | 332137
gplus100500197140377336562_graph.lad | 11.410 | 16666233
gplus100720409235366385249_graph.lad | NaN | NaN
gplus100962871525684315897_graph.lad | 14.920 | 15048867
gplus101185748996927059931_graph.lad | 35.920 | 63876152
gplus101263615503715477581_graph.lad | NaN | NaN
gplus101373961279443806744_graph.lad | NaN | NaN
gplus101499880233887429402_graph.lad | 10.300 | 4029837
gplus101541879642294398860_graph.lad | 15.450 | 11177431
gplus101560853443212199687_graph.lad | 5.710 | 217591
gplus101626577406833098387_graph.lad | NaN | NaN
gplus102778563580121606331_graph.lad | 27.050 | 71359167
gplus103236949470535942612_graph.lad | NaN | NaN
gplus103338524411980406972_graph.lad | 5.300 | 483296
oregon1_010331_graph.lad | NaN | NaN
oregon1_010407_graph.lad | NaN | NaN
oregon1_010414_graph.lad | NaN | NaN
oregon1_010421_graph.lad | NaN | NaN
oregon1_010428_graph.lad | NaN | NaN
oregon1_010505_graph.lad | NaN | NaN
oregon1_010512_graph.lad | NaN | NaN
oregon1_010519_graph.lad | NaN | NaN
oregon2_010331_graph.lad | NaN | NaN
oregon2_010407_graph.lad | NaN | NaN
oregon2_010414_graph.lad | NaN | NaN
oregon2_010421_graph.lad | NaN | NaN
oregon2_010428_graph.lad | NaN | NaN
oregon2_010505_graph.lad | NaN | NaN
oregon2_010512_graph.lad | NaN | NaN
oregon2_010519_graph.lad | NaN | NaN
oregon2_010526_graph.lad | NaN | NaN
p2p-Gnutella04_graph.lad | 110.350 | 759836176
p2p-Gnutella05_graph.lad | 72.330 | 507090471
p2p-Gnutella06_graph.lad | 69.640 | 492891828
p2p-Gnutella08_graph.lad | 37.930 | 258353929
p2p-Gnutella09_graph.lad | 59.060 | 417315182
p2p-Gnutella24_graph.lad | NaN | NaN
p2p-Gnutella25_graph.lad | NaN | NaN
p2p-Gnutella30_graph.lad | NaN | NaN
twitter12831_graph.lad | 75.280 | 1649812
twitter356963_graph.lad | 6.760 | 577695
twitter428333_graph.lad | 6.060 | 554894
twitter612473_graph.lad | 6.280 | 701826
twitter613313_graph.lad | 6.350 | 611438
twitter623623_graph.lad | 6.050 | 513731
twitter629863_graph.lad | 6.280 | 779204
twitter734493_graph.lad | 5.910 | 183578
twitter742143_graph.lad | 6.190 | 447102
twitter745823_graph.lad | 7.150 | 2757881
twitter759679_graph.lad | 6.130 | 587045
twitter778446_graph.lad | 6.470 | 1787102
twitter78813_graph.lad | 6.530 | 2043345
web-BerkStan_graph.lad | NaN | NaN
web-Google_graph.lad | NaN | NaN
web-NotreDame_graph.lad | NaN | NaN
web-Stanford_graph.lad | NaN | NaN
wikitalk_graph.lad | NaN | NaN
