=== Summary for solver: Glasgow (real graphs) ===

graph | time(s) | alloc(B)
Amazon0302_graph.lad | NaN | NaN
Amazon0312_graph.lad | NaN | NaN
Amazon0505_graph.lad | NaN | NaN
Amazon0601_graph.lad | NaN | NaN
Brightkite_edges_graph.lad | NaN | NaN
CA-AstroPh_graph.lad | NaN | NaN
CA-GrQc_graph.lad | 23.590 | 170762226
CA-HepPh_graph.lad | NaN | NaN
CA-HepTh_graph.lad | 80.380 | 587662471
CA-rCondMat_graph.lad | NaN | NaN
Cit-HepPh_graph.lad | NaN | NaN
Cit-HepTh_graph.lad | NaN | NaN
Gowalla_edges_graph.lad | NaN | NaN
as-skitter_graph.lad | NaN | NaN
as19971108_graph.lad | 12.220 | 59708726
as19971109_graph.lad | 12.730 | 59497195
as19971110_graph.lad | 11.850 | 59957153
as19971111_graph.lad | 13.370 | 59931038
as19971112_graph.lad | 13.270 | 60057530
as19971113_graph.lad | 12.830 | 57472989
as19971114_graph.lad | 14.830 | 60454673
as19971115_graph.lad | 14.460 | 60352381
as19971116_graph.lad | 15.830 | 60343953
as19971117_graph.lad | 14.210 | 60316253
as19971118_graph.lad | 15.360 | 60548353
as19971119_graph.lad | 15.200 | 60822237
as19971120_graph.lad | 15.920 | 61285545
as19971121_graph.lad | 15.810 | 61857965
cit-Patents_graph.lad | NaN | NaN
com-amazon_graph.lad | NaN | NaN
email-Eu-core-department-labels_graph.lad | 10.180 | 5443657
email-Eu-core_graph.lad | 14.250 | 10405036
email-enron_graph.lad | NaN | NaN
email-euall_graph.lad | NaN | NaN
fb0_graph.lad | 30.360 | 2242872
fb107_graph.lad | 16.480 | 29176486
fb1684_graph.lad | 10.490 | 11686698
fb1912_graph.lad | 14.960 | 17297659
fb3437_graph.lad | 7.620 | 4266287
fb348_graph.lad | 6.750 | 2251675
fb3980_graph.lad | 6.410 | 269312
fb414_graph.lad | 6.540 | 1035399
fb686_graph.lad | 6.730 | 1257184
fb698_graph.lad | 6.120 | 324338
gplus100500197140377336562_graph.lad | 11.070 | 16640508
gplus100720409235366385249_graph.lad | NaN | NaN
gplus100962871525684315897_graph.lad | 20.510 | 15025604
gplus101185748996927059931_graph.lad | 48.800 | 63823074
gplus101263615503715477581_graph.lad | NaN | NaN
gplus101373961279443806744_graph.lad | NaN | NaN
gplus101499880233887429402_graph.lad | 9.810 | 4020483
gplus101541879642294398860_graph.lad | 10.080 | 11158020
gplus101560853443212199687_graph.lad | 6.070 | 212669
gplus101626577406833098387_graph.lad | NaN | NaN
gplus102778563580121606331_graph.lad | 27.550 | 71281078
gplus103236949470535942612_graph.lad | NaN | NaN
gplus103338524411980406972_graph.lad | 6.140 | 248492
oregon1_010331_graph.lad | NaN | NaN
oregon1_010407_graph.lad | NaN | NaN
oregon1_010414_graph.lad | NaN | NaN
oregon1_010421_graph.lad | NaN | NaN
oregon1_010428_graph.lad | NaN | NaN
oregon1_010505_graph.lad | NaN | NaN
oregon1_010512_graph.lad | NaN | NaN
oregon1_010519_graph.lad | NaN | NaN
oregon2_010331_graph.lad | NaN | NaN
oregon2_010407_graph.lad | NaN | NaN
oregon2_010414_graph.lad | NaN | NaN
oregon2_010421_graph.lad | NaN | NaN
oregon2_010428_graph.lad | NaN | NaN
oregon2_010505_graph.lad | NaN | NaN
oregon2_010512_graph.lad | NaN | NaN
oregon2_010519_graph.lad | NaN | NaN
oregon2_010526_graph.lad | NaN | NaN
p2p-Gnutella04_graph.lad | 97.230 | 731308403
p2p-Gnutella05_graph.lad | 63.130 | 488150613
p2p-Gnutella06_graph.lad | 61.640 | 475288064
p2p-Gnutella08_graph.lad | 33.570 | 248707989
p2p-Gnutella09_graph.lad | 53.310 | 402112329
p2p-Gnutella24_graph.lad | NaN | NaN
p2p-Gnutella25_graph.lad | NaN | NaN
p2p-Gnutella30_graph.lad | NaN | NaN
twitter12831_graph.lad | 6.860 | 1638016
twitter356963_graph.lad | 6.490 | 568400
twitter428333_graph.lad | 6.440 | 553200
twitter612473_graph.lad | 6.400 | 696456
twitter613313_graph.lad | 7.060 | 605636
twitter623623_graph.lad | 6.970 | 507188
twitter629863_graph.lad | 6.830 | 770533
twitter734493_graph.lad | 6.030 | 193757
twitter742143_graph.lad | 6.520 | 440506
twitter745823_graph.lad | 7.690 | 2745469
twitter759679_graph.lad | 6.780 | 579056
twitter778446_graph.lad | 6.870 | 1777238
twitter78813_graph.lad | 7.410 | 2030903
web-BerkStan_graph.lad | NaN | NaN
web-Google_graph.lad | NaN | NaN
web-NotreDame_graph.lad | NaN | NaN
web-Stanford_graph.lad | NaN | NaN
wikitalk_graph.lad | NaN | NaN
