=== Summary for solver: RI (real graphs) ===

graph | time(s) | alloc(B)
Amazon0302_graph.gfu | 74.250 | 79434047
Amazon0312_graph.gfu | NaN | NaN
Amazon0505_graph.gfu | NaN | NaN
Amazon0601_graph.gfu | NaN | NaN
Brightkite_edges_graph.gfu | 16.010 | 18623788
CA-AstroPh_graph.gfu | 18.990 | 14537262
CA-GrQc_graph.gfu | 4.400 | 1478813
CA-HepPh_graph.gfu | 10.570 | 8675352
CA-HepTh_graph.gfu | 5.130 | 2602527
CA-rCondMat_graph.gfu | 11.350 | 8373114
Cit-HepPh_graph.gfu | 34.140 | 29895967
Cit-HepTh_graph.gfu | 22.290 | 24943351
Gowalla_edges_graph.gfu | 69.880 | 77227890
as-skitter_graph.gfu | NaN | NaN
as19971108_graph.gfu | 2.980 | 695007
as19971109_graph.gfu | 2.910 | 694547
as19971110_graph.gfu | 2.980 | 698282
as19971111_graph.gfu | 2.950 | 697124
as19971112_graph.gfu | 2.850 | 698743
as19971113_graph.gfu | 2.840 | 687990
as19971114_graph.gfu | 2.850 | 700912
as19971115_graph.gfu | 2.860 | 697801
as19971116_graph.gfu | 2.850 | 701142
as19971117_graph.gfu | 2.870 | 700597
as19971118_graph.gfu | 2.810 | 703408
as19971119_graph.gfu | 2.840 | 703527
as19971120_graph.gfu | 2.810 | 707064
as19971121_graph.gfu | 2.840 | 708664
cit-Patents_graph.gfu | NaN | NaN
com-amazon_graph.gfu | 95.980 | 87139423
email-Eu-core-department-labels_graph.gfu | 3.040 | 277742
email-Eu-core_graph.gfu | 3.910 | 1242348
email-enron_graph.gfu | 13.940 | 14900527
email-euall_graph.gfu | 37.370 | 45499189
fb0_graph.gfu | 2.760 | 278595
fb107_graph.gfu | 4.090 | 1902419
fb1684_graph.gfu | 3.410 | 1080596
fb1912_graph.gfu | 4.140 | 2073303
fb3437_graph.gfu | 2.880 | 442496
fb348_graph.gfu | 3.090 | 501861
fb3980_graph.gfu | 2.640 | 106482
fb414_graph.gfu | 2.820 | 225543
fb686_graph.gfu | 2.820 | 209629
fb698_graph.gfu | 2.860 | 112044
gplus100500197140377336562_graph.gfu | 3.550 | 1049124
gplus100720409235366385249_graph.gfu | 25.710 | 25566311
gplus100962871525684315897_graph.gfu | 4.000 | 1848439
gplus101185748996927059931_graph.gfu | 5.850 | 4150670
gplus101263615503715477581_graph.gfu | 27.140 | 28059311
gplus101373961279443806744_graph.gfu | 74.020 | 61499468
gplus101499880233887429402_graph.gfu | 3.580 | 457518
gplus101541879642294398860_graph.gfu | 4.340 | 1100722
gplus101560853443212199687_graph.gfu | 3.350 | 98515
gplus101626577406833098387_graph.gfu | 28.380 | 24663090
gplus102778563580121606331_graph.gfu | 5.880 | 2835907
gplus103236949470535942612_graph.gfu | 44.040 | 33783822
gplus103338524411980406972_graph.gfu | 3.370 | 186120
oregon1_010331_graph.gfu | 5.400 | 2383528
oregon1_010407_graph.gfu | 5.700 | 2388273
oregon1_010414_graph.gfu | 5.580 | 2423376
oregon1_010421_graph.gfu | 5.580 | 2446935
oregon1_010428_graph.gfu | 5.470 | 2432880
oregon1_010505_graph.gfu | 5.260 | 2444907
oregon1_010512_graph.gfu | 4.780 | 2455071
oregon1_010519_graph.gfu | 4.840 | 2461359
oregon2_010331_graph.gfu | 5.310 | 2990010
oregon2_010407_graph.gfu | 5.350 | 2975853
oregon2_010414_graph.gfu | 5.550 | 3037151
oregon2_010421_graph.gfu | 5.860 | 3027942
oregon2_010428_graph.gfu | 5.900 | 3024025
oregon2_010505_graph.gfu | 5.640 | 2996253
oregon2_010512_graph.gfu | 5.600 | 3027842
oregon2_010519_graph.gfu | 5.610 | 3100363
oregon2_010526_graph.gfu | 5.800 | 3135693
p2p-Gnutella04_graph.gfu | 6.490 | 3552194
p2p-Gnutella05_graph.gfu | 5.790 | 2866144
p2p-Gnutella06_graph.gfu | 5.870 | 2832861
p2p-Gnutella08_graph.gfu | 5.010 | 1942581
p2p-Gnutella09_graph.gfu | 5.300 | 2428924
p2p-Gnutella24_graph.gfu | 8.890 | 6476520
p2p-Gnutella25_graph.gfu | 8.270 | 5475091
p2p-Gnutella30_graph.gfu | 10.890 | 8790588
twitter12831_graph.gfu | 3.350 | 225360
twitter356963_graph.gfu | 3.390 | 132327
twitter428333_graph.gfu | 3.430 | 157560
twitter612473_graph.gfu | 3.250 | 155793
twitter613313_graph.gfu | 3.320 | 143709
twitter623623_graph.gfu | 3.350 | 128179
twitter629863_graph.gfu | 3.250 | 155250
twitter734493_graph.gfu | 3.350 | 96472
twitter742143_graph.gfu | 3.290 | 131368
twitter745823_graph.gfu | 3.570 | 391563
twitter759679_graph.gfu | 3.300 | 134342
twitter778446_graph.gfu | 3.430 | 244606
twitter78813_graph.gfu | 3.610 | 253329
web-BerkStan_graph.gfu | NaN | NaN
web-Google_graph.gfu | NaN | NaN
web-NotreDame_graph.gfu | 114.930 | 98649248
web-Stanford_graph.gfu | NaN | NaN
wikitalk_graph.gfu | NaN | NaN
