=== Summary for solver: RI (real graphs) ===

graph | time(s) | alloc(B)
Amazon0302_graph.gfu | 80.280 | 79430891
Amazon0312_graph.gfu | NaN | NaN
Amazon0505_graph.gfu | NaN | NaN
Amazon0601_graph.gfu | NaN | NaN
Brightkite_edges_graph.gfu | 16.280 | 18622952
CA-AstroPh_graph.gfu | 16.930 | 14326106
CA-GrQc_graph.gfu | 4.320 | 1451857
CA-HepPh_graph.gfu | 10.560 | 8670996
CA-HepTh_graph.gfu | 4.960 | 2572651
CA-rCondMat_graph.gfu | 10.170 | 7992838
Cit-HepPh_graph.gfu | 34.620 | 29895251
Cit-HepTh_graph.gfu | 22.440 | 24942635
Gowalla_edges_graph.gfu | 70.110 | 77227014
as-skitter_graph.gfu | NaN | NaN
as19971108_graph.gfu | 2.970 | 693771
as19971109_graph.gfu | 2.920 | 693311
as19971110_graph.gfu | 2.900 | 697206
as19971111_graph.gfu | 2.900 | 695888
as19971112_graph.gfu | 2.900 | 697507
as19971113_graph.gfu | 2.890 | 686674
as19971114_graph.gfu | 2.810 | 699596
as19971115_graph.gfu | 2.830 | 696685
as19971116_graph.gfu | 2.920 | 699866
as19971117_graph.gfu | 2.860 | 699361
as19971118_graph.gfu | 2.930 | 702092
as19971119_graph.gfu | 3.000 | 702851
as19971120_graph.gfu | 2.940 | 705748
as19971121_graph.gfu | 2.980 | 707308
cit-Patents_graph.gfu | NaN | NaN
com-amazon_graph.gfu | 94.190 | 87138427
email-Eu-core-department-labels_graph.gfu | 3.080 | 241586
email-Eu-core_graph.gfu | 3.530 | 1241592
email-enron_graph.gfu | 13.790 | 14899891
email-euall_graph.gfu | 36.700 | 45498353
fb0_graph.gfu | 2.750 | 277839
fb107_graph.gfu | 4.020 | 1886743
fb1684_graph.gfu | 3.330 | 1051760
fb1912_graph.gfu | 4.160 | 2072587
fb3437_graph.gfu | 2.900 | 441340
fb348_graph.gfu | 2.790 | 311865
fb3980_graph.gfu | 2.620 | 102646
fb414_graph.gfu | 2.810 | 209787
fb686_graph.gfu | 2.900 | 208913
fb698_graph.gfu | 2.940 | 111328
gplus100500197140377336562_graph.gfu | 3.600 | 1048328
gplus100720409235366385249_graph.gfu | 24.990 | 25565595
gplus100962871525684315897_graph.gfu | 4.040 | 1847723
gplus101185748996927059931_graph.gfu | 5.790 | 4149954
gplus101263615503715477581_graph.gfu | 27.470 | 28058595
gplus101373961279443806744_graph.gfu | 73.970 | 61498752
gplus101499880233887429402_graph.gfu | 3.550 | 456722
gplus101541879642294398860_graph.gfu | 4.150 | 1100006
gplus101560853443212199687_graph.gfu | 3.180 | 96599
gplus101626577406833098387_graph.gfu | 27.970 | 24662374
gplus102778563580121606331_graph.gfu | 5.930 | 2834671
gplus103236949470535942612_graph.gfu | 44.670 | 33783106
gplus103338524411980406972_graph.gfu | 3.270 | 98164
oregon1_010331_graph.gfu | 5.270 | 2382732
oregon1_010407_graph.gfu | 5.240 | 2387437
oregon1_010414_graph.gfu | 5.500 | 2422620
oregon1_010421_graph.gfu | 5.210 | 2446099
oregon1_010428_graph.gfu | 4.880 | 2432084
oregon1_010505_graph.gfu | 4.720 | 2444111
oregon1_010512_graph.gfu | 4.690 | 2454235
oregon1_010519_graph.gfu | 4.900 | 2460563
oregon2_010331_graph.gfu | 5.230 | 2989214
oregon2_010407_graph.gfu | 5.340 | 2975137
oregon2_010414_graph.gfu | 5.660 | 3036275
oregon2_010421_graph.gfu | 5.570 | 3027066
oregon2_010428_graph.gfu | 5.470 | 3023149
oregon2_010505_graph.gfu | 5.830 | 2995377
oregon2_010512_graph.gfu | 5.640 | 3026966
oregon2_010519_graph.gfu | 5.560 | 3099487
oregon2_010526_graph.gfu | 6.000 | 3135017
p2p-Gnutella04_graph.gfu | 6.540 | 3551358
p2p-Gnutella05_graph.gfu | 5.820 | 2860988
p2p-Gnutella06_graph.gfu | 5.660 | 2831345
p2p-Gnutella08_graph.gfu | 5.070 | 1942385
p2p-Gnutella09_graph.gfu | 5.460 | 2428168
p2p-Gnutella24_graph.gfu | 8.900 | 6474004
p2p-Gnutella25_graph.gfu | 8.050 | 5473175
p2p-Gnutella30_graph.gfu | 11.260 | 8786632
twitter12831_graph.gfu | 3.310 | 224484
twitter356963_graph.gfu | 3.290 | 131131
twitter428333_graph.gfu | 3.240 | 153844
twitter612473_graph.gfu | 3.370 | 155077
twitter613313_graph.gfu | 3.370 | 141353
twitter623623_graph.gfu | 3.260 | 125983
twitter629863_graph.gfu | 3.430 | 153134
twitter734493_graph.gfu | 3.310 | 91916
twitter742143_graph.gfu | 3.430 | 130652
twitter745823_graph.gfu | 3.560 | 388887
twitter759679_graph.gfu | 3.530 | 133586
twitter778446_graph.gfu | 3.530 | 243650
twitter78813_graph.gfu | 3.350 | 252613
web-BerkStan_graph.gfu | NaN | NaN
web-Google_graph.gfu | NaN | NaN
web-NotreDame_graph.gfu | 104.020 | 98648532
web-Stanford_graph.gfu | NaN | NaN
wikitalk_graph.gfu | NaN | NaN
