=== Summary for solver: SICS (real graphs) ===

graph | time(s) | alloc(B)
Amazon0302_graph.lad | 3.130 | 5334232
Amazon0312_graph.lad | 3.390 | 5334232
Amazon0505_graph.lad | 2.700 | 5334232
Amazon0601_graph.lad | 4.140 | 5334232
Brightkite_edges_graph.lad | 4.350 | 4749672
CA-AstroPh_graph.lad | NaN | NaN
CA-GrQc_graph.lad | 27.710 | 18674408
CA-HepPh_graph.lad | NaN | NaN
CA-HepTh_graph.lad | 75.590 | 63856364
CA-rCondMat_graph.lad | NaN | NaN
Cit-HepPh_graph.lad | NaN | NaN
Cit-HepTh_graph.lad | NaN | NaN
Gowalla_edges_graph.lad | 4.450 | 5334232
as-skitter_graph.lad | 4.350 | 5334232
as19971108_graph.lad | 11.620 | 6594788
as19971109_graph.lad | 11.460 | 6585068
as19971110_graph.lad | 11.520 | 6618024
as19971111_graph.lad | 11.380 | 6612952
as19971112_graph.lad | 11.800 | 6616092
as19971113_graph.lad | 11.260 | 6334072
as19971114_graph.lad | 11.860 | 6663872
as19971115_graph.lad | 11.920 | 6649948
as19971116_graph.lad | 11.340 | 6648480
as19971117_graph.lad | 8.950 | 6641084
as19971118_graph.lad | 9.240 | 6663800
as19971119_graph.lad | 9.120 | 6696292
as19971120_graph.lad | 9.740 | 6724848
as19971121_graph.lad | 9.430 | 6843320
cit-Patents_graph.lad | 3.090 | 5334232
com-amazon_graph.lad | 3.510 | 5334232
email-Eu-core-department-labels_graph.lad | 4.210 | 962068
email-Eu-core_graph.lad | 4.960 | 1316964
email-enron_graph.lad | NaN | NaN
email-euall_graph.lad | 4.440 | 5334232
fb0_graph.lad | 5.280 | 298556
fb107_graph.lad | 7.580 | 1612344
fb1684_graph.lad | 6.770 | 981232
fb1912_graph.lad | 6.760 | 1295948
fb3437_graph.lad | 5.510 | 501624
fb348_graph.lad | 4.850 | 249432
fb3980_graph.lad | 4.440 | 111840
fb414_graph.lad | 4.300 | 183160
fb686_graph.lad | 4.600 | 187832
fb698_graph.lad | 4.000 | 116748
gplus100500197140377336562_graph.lad | 5.390 | 803272
gplus100720409235366385249_graph.lad | 30.860 | 17450116
gplus100962871525684315897_graph.lad | 5.380 | 1033844
gplus101185748996927059931_graph.lad | 8.720 | 2486032
gplus101263615503715477581_graph.lad | 28.420 | 14566644
gplus101373961279443806744_graph.lad | 57.810 | 31854464
gplus101499880233887429402_graph.lad | 4.020 | 321896
gplus101541879642294398860_graph.lad | 5.400 | 690384
gplus101560853443212199687_graph.lad | 4.520 | 102620
gplus101626577406833098387_graph.lad | 33.340 | 23731768
gplus102778563580121606331_graph.lad | 7.210 | 2511980
gplus103236949470535942612_graph.lad | 35.580 | 16010000
gplus103338524411980406972_graph.lad | 4.960 | 106248
oregon1_010331_graph.lad | 99.490 | 73999440
oregon1_010407_graph.lad | 98.960 | 74823596
oregon1_010414_graph.lad | 87.680 | 75680496
oregon1_010421_graph.lad | 89.230 | 76612036
oregon1_010428_graph.lad | 99.030 | 77177000
oregon1_010505_graph.lad | 88.930 | 77658716
oregon1_010512_graph.lad | 79.240 | 78935916
oregon1_010519_graph.lad | 78.770 | 79280860
oregon2_010331_graph.lad | 79.410 | 77503144
oregon2_010407_graph.lad | 80.560 | 78525932
oregon2_010414_graph.lad | 70.880 | 79221540
oregon2_010421_graph.lad | 60.400 | 80087304
oregon2_010428_graph.lad | 45.520 | 80367684
oregon2_010505_graph.lad | 47.190 | 81085108
oregon2_010512_graph.lad | 43.600 | 82340520
oregon2_010519_graph.lad | 50.040 | 84097612
oregon2_010526_graph.lad | 45.820 | 85586156
p2p-Gnutella04_graph.lad | 45.990 | 77131456
p2p-Gnutella05_graph.lad | 27.330 | 51721272
p2p-Gnutella06_graph.lad | 25.430 | 50266524
p2p-Gnutella08_graph.lad | 15.790 | 26754932
p2p-Gnutella09_graph.lad | 21.530 | 43511120
p2p-Gnutella24_graph.lad | NaN | NaN
p2p-Gnutella25_graph.lad | NaN | NaN
p2p-Gnutella30_graph.lad | NaN | NaN
twitter12831_graph.lad | 3.580 | 221360
twitter356963_graph.lad | 3.390 | 142456
twitter428333_graph.lad | 3.870 | 134580
twitter612473_graph.lad | 3.550 | 138520
twitter613313_graph.lad | 3.610 | 136560
twitter623623_graph.lad | 3.510 | 135440
twitter629863_graph.lad | 4.330 | 164476
twitter734493_graph.lad | 3.190 | 98724
twitter742143_graph.lad | 3.530 | 122412
twitter745823_graph.lad | 3.400 | 282376
twitter759679_graph.lad | 3.530 | 140084
twitter778446_graph.lad | 3.600 | 206004
twitter78813_graph.lad | 3.370 | 231740
web-BerkStan_graph.lad | 3.340 | 5334232
web-Google_graph.lad | 3.000 | 5334232
web-NotreDame_graph.lad | 2.950 | 5334232
web-Stanford_graph.lad | 3.140 | 5334232
wikitalk_graph.lad | 3.000 | 5334232
