=== Summary for solver: VF3 (real graphs) ===

graph | time(s) | alloc(B)
Amazon0302_graph.grf | NaN | NaN
Amazon0312_graph.grf | NaN | NaN
Amazon0505_graph.grf | NaN | NaN
Amazon0601_graph.grf | NaN | NaN
Brightkite_edges_graph.grf | 68.230 | 58053368
CA-AstroPh_graph.grf | 4.680 | 1315814
CA-GrQc_graph.grf | 3.370 | 364494
CA-HepPh_graph.grf | 3.520 | 784726
CA-HepTh_graph.grf | 3.940 | 759514
CA-rCondMat_graph.grf | 4.070 | 1301706
Cit-HepPh_graph.grf | 6.000 | 2883182
Cit-HepTh_graph.grf | 7.120 | 4646030
Gowalla_edges.grf | NaN | NaN
as-skitter_graph.grf | NaN | NaN
as19971108_graph.grf | 4.900 | 266530
as19971109_graph.grf | 5.160 | 266562
as19971110_graph.grf | 5.120 | 267158
as19971111_graph.grf | 5.130 | 267214
as19971112_graph.grf | 5.170 | 267266
as19971113_graph.grf | 4.940 | 263206
as19971114_graph.grf | NaN | NaN
as19971115_graph.grf | 4.740 | 268794
as19971116_graph.grf | 3.370 | 268102
as19971117_graph.grf | 3.860 | 268026
as19971118_graph.grf | 3.540 | 268494
as19971119_graph.grf | 3.420 | 268770
as19971120_graph.grf | 3.440 | 269582
as19971121_graph.grf | 3.410 | 270238
cit-Patents_graph.grf | NaN | NaN
com-amazon_graph.grf | NaN | NaN
email-Eu-core-department-labels_graph.grf | 4.750 | 148170
email-Eu-core_graph.grf | 4.270 | 144170
email-enron_graph.grf | 66.910 | 44227220
email-euall_graph.grf | 22.460 | 13884238
fb0graph_graph.grf | 4.940 | 3442676
fb107graph_graph.grf | 8.540 | 7437372
fb1684graph_graph.grf | 6.610 | 3141720
fb1912graph_graph.grf | 8.890 | 10346896
fb3437graph_graph.grf | 5.430 | 5112684
fb348graph_graph.grf | 5.310 | 838192
fb3980graph_graph.grf | 4.660 | 828200
fb414graph_graph.grf | 4.700 | 2870764
fb686graph_graph.grf | 4.580 | 2457128
fb698graph_graph.grf | 4.320 | 703724
gplus100500197140377336562_graph.grf | 6.630 | 8382448
gplus100720409235366385249_graph.grf | 102.570 | 75700576
gplus100962871525684315897_graph.grf | 9.370 | 7753472
gplus101185748996927059931_graph.grf | 12.620 | 16518504
gplus101263615503715477581_graph.grf | 99.660 | 83245492
gplus101373961279443806744_graph.grf | NaN | NaN
gplus101499880233887429402_graph.grf | 5.570 | 2172800
gplus101541879642294398860_graph.grf | 7.080 | 5870608
gplus101560853443212199687_graph.grf | 4.500 | 1034896
gplus101626577406833098387_graph.grf | 99.530 | 72215736
gplus102778563580121606331_graph.grf | 11.120 | 13782700
gplus103236949470535942612_graph.grf | NaN | NaN
gplus103338524411980406972_graph.grf | 4.500 | 162644
oregon1_010331_graph.grf | 8.280 | 16321968
oregon1_010407_graph.grf | 8.420 | 16610276
oregon1_010414_graph.grf | 8.310 | 17269836
oregon1_010421_graph.grf | 8.230 | 16187552
oregon1_010428_graph.grf | 8.770 | 17164972
oregon1_010505_graph.grf | 8.620 | 17479788
oregon1_010512_graph.grf | 8.760 | 17542980
oregon1_010519_graph.grf | 8.480 | 17371684
oregon2_010331_graph.grf | 9.480 | 18199344
oregon2_010407_graph.grf | 9.540 | 17942956
oregon2_010414_graph.grf | 9.660 | 19160292
oregon2_010421_graph.grf | 9.480 | 18453720
oregon2_010428_graph.grf | 9.470 | 18976420
oregon2_010505_graph.grf | 9.630 | 18175756
oregon2_010512_graph.grf | 9.720 | 19094236
oregon2_010519_graph.grf | 9.900 | 19406224
oregon2_010526_graph.grf | 10.020 | 18799528
p2p-Gnutella04_graph.grf | 10.870 | 18121968
p2p-Gnutella05_graph.grf | 9.390 | 14659908
p2p-Gnutella06_graph.grf | 10.690 | 11333960
p2p-Gnutella08_graph.grf | 110.140 | 11555612
p2p-Gnutella09_graph.grf | 7.840 | 16053564
p2p-Gnutella24_graph.grf | 14.380 | 27029692
p2p-Gnutella25_graph.grf | 13.320 | 20104024
p2p-Gnutella30_graph.grf | 18.670 | 32803368
twitter12831graph_graph.grf | 2.900 | 185782
twitter356963graph_graph.grf | 4.110 | 1295988
twitter428333graph_graph.grf | 4.100 | 513984
twitter612473graph_graph.grf | 4.320 | 2406368
twitter613313graph_graph.grf | 4.280 | 1903448
twitter623623graph_graph.grf | 4.250 | 2121712
twitter629863graph_graph.grf | 4.260 | 2123660
twitter734493graph_graph.grf | 4.090 | 402852
twitter742143graph_graph.grf | 4.200 | 1378864
twitter745823graph_graph.grf | 4.680 | 3006088
twitter759679graph_graph.grf | 4.180 | 2413032
twitter778446graph_graph.grf | 4.460 | 3122436
twitter78813graph_graph.grf | 3.000 | 174722
web-BerkStan_graph.grf | NaN | NaN
web-Google_graph.grf | NaN | NaN
web-NotreDame_graph.grf | 15.280 | 17029818
web-Stanford_graph.grf | NaN | NaN
wikitalk_graph.grf | NaN | NaN
